fast,slow,atr_stop,atr_target,max_holding,trades,win_rate(%),expect/trade(%),PF,Sharpe
3,15,2.5,3.0,10,185,57.84,3.059,2.02,0.28
3,15,1.5,3.0,10,196,54.08,2.942,1.98,0.28
8,20,1.5,3.0,10,86,51.16,2.864,1.87,0.26
3,15,2.5,5.0,10,184,55.98,2.799,1.9,0.24
3,15,1.5,5.0,10,195,51.79,2.63,1.82,0.23
8,20,1.5,5.0,10,86,46.51,2.454,1.68,0.2
8,15,2.5,3.0,10,137,59.85,2.301,1.71,0.21
3,15,1.5,5.0,5,201,55.22,2.287,1.8,0.22
8,15,1.5,3.0,10,139,54.68,2.278,1.75,0.22
5,15,2.5,5.0,10,166,57.23,2.255,1.66,0.19
5,15,1.5,3.0,10,175,54.86,2.248,1.72,0.22
8,15,2.5,5.0,10,136,57.35,2.205,1.65,0.19
8,15,1.5,5.0,10,138,52.9,2.203,1.7,0.2
3,15,1.5,3.0,5,201,55.72,2.198,1.79,0.23
5,15,2.5,3.0,10,167,58.08,2.175,1.65,0.2
8,20,1.5,3.0,5,86,54.65,2.145,1.8,0.23
3,15,2.5,5.0,5,201,55.22,2.138,1.71,0.2
8,20,2.5,3.0,10,85,52.94,2.138,1.5,0.17
5,15,1.5,5.0,10,174,53.45,2.132,1.65,0.19
8,20,2.5,3.0,5,85,56.47,2.077,1.7,0.21
3,15,2.5,3.0,5,201,56.22,2.041,1.68,0.21
8,20,2.5,5.0,10,85,48.24,1.881,1.42,0.14
5,20,1.5,3.0,10,102,49.02,1.591,1.47,0.15
3,20,1.5,3.0,10,106,44.34,1.481,1.41,0.14
5,20,1.5,5.0,10,102,46.08,1.422,1.38,0.12
8,20,2.5,5.0,5,84,53.57,1.375,1.43,0.14
3,20,1.5,5.0,10,106,42.45,1.333,1.36,0.11
8,20,1.5,5.0,5,85,51.76,1.288,1.44,0.14
5,15,1.5,5.0,5,177,51.98,1.108,1.35,0.11
5,15,1.5,3.0,5,177,52.54,1.084,1.35,0.12
8,15,2.5,3.0,5,141,53.19,1.062,1.33,0.11
5,20,2.5,3.0,10,99,49.49,1.047,1.26,0.09
8,15,1.5,3.0,5,142,51.41,1.034,1.34,0.11
8,15,2.5,5.0,5,141,52.48,0.989,1.31,0.1
5,15,2.5,5.0,5,177,52.54,0.961,1.28,0.09
8,15,1.5,5.0,5,142,51.41,0.959,1.32,0.1
3,20,1.5,3.0,5,107,44.86,0.93,1.26,0.09
5,15,2.5,3.0,5,177,53.11,0.833,1.24,0.09
3,20,1.5,5.0,5,106,43.4,0.758,1.21,0.07
5,20,1.5,3.0,5,103,46.6,0.752,1.23,0.08
3,20,2.5,3.0,10,100,44.0,0.663,1.15,0.06
3,20,2.5,5.0,10,100,42.0,0.622,1.14,0.05
5,20,2.5,5.0,10,99,45.45,0.587,1.14,0.05
5,20,2.5,3.0,5,102,46.08,0.358,1.1,0.04
3,20,2.5,3.0,5,104,44.23,0.354,1.08,0.03
3,20,2.5,5.0,5,103,42.72,0.171,1.04,0.02
5,20,1.5,5.0,5,102,43.14,0.123,1.03,0.01
5,20,2.5,5.0,5,101,42.57,-0.275,0.93,-0.03
3,30,1.5,3.0,5,71,43.66,-0.638,0.84,-0.07
3,30,1.5,5.0,5,71,42.25,-0.73,0.82,-0.07
3,30,1.5,3.0,10,71,36.62,-0.858,0.8,-0.09
3,30,2.5,3.0,10,66,40.91,-0.863,0.82,-0.08
8,30,1.5,5.0,10,27,22.22,-1.013,0.81,-0.08
3,30,2.5,3.0,5,71,43.66,-1.127,0.75,-0.11
3,30,2.5,5.0,5,71,42.25,-1.281,0.73,-0.12
8,30,1.5,3.0,10,27,22.22,-1.649,0.69,-0.15
3,30,1.5,5.0,10,71,29.58,-2.111,0.57,-0.22
3,30,2.5,5.0,10,66,34.85,-2.164,0.6,-0.19
8,30,1.5,3.0,5,27,25.93,-2.171,0.58,-0.21
8,30,2.5,5.0,10,26,23.08,-2.424,0.64,-0.16
5,30,1.5,3.0,10,51,23.53,-2.629,0.49,-0.29
5,30,1.5,3.0,5,51,27.45,-2.751,0.47,-0.31
5,30,1.5,5.0,5,51,27.45,-2.847,0.45,-0.31
5,30,1.5,5.0,10,51,21.57,-3.021,0.43,-0.32
8,30,2.5,3.0,10,26,23.08,-3.084,0.55,-0.24
8,30,2.5,3.0,5,26,26.92,-3.187,0.5,-0.27
8,30,1.5,5.0,5,26,23.08,-3.22,0.4,-0.35
5,30,2.5,3.0,5,51,27.45,-3.447,0.41,-0.36
5,30,2.5,5.0,5,51,27.45,-3.543,0.39,-0.36
5,30,2.5,3.0,10,50,24.0,-3.86,0.4,-0.37
5,30,2.5,5.0,10,50,24.0,-4.103,0.36,-0.38
8,30,2.5,5.0,5,25,24.0,-4.319,0.34,-0.41
