amount_surge_ratio,pullback_band_pct,trailing_stop_pct,max_holding,trades,win_rate(%),expect/trade(%),PF,Sharpe
1.5,0.03,0.02,2,84,39.29,-0.886,0.56,-0.23
1.5,0.03,0.02,5,84,39.29,-0.886,0.56,-0.23
1.5,0.015,0.02,2,53,35.85,-1.017,0.5,-0.26
1.5,0.015,0.02,5,53,35.85,-1.017,0.5,-0.26
1.5,0.03,0.05,2,84,36.9,-1.094,0.47,-0.3
1.5,0.03,0.05,5,84,36.9,-1.14,0.44,-0.32
1.5,0.015,0.05,2,53,33.96,-1.174,0.44,-0.32
1.5,0.015,0.05,5,53,33.96,-1.247,0.4,-0.35
3.0,0.015,0.02,2,11,27.27,-2.182,0.21,-0.54
3.0,0.015,0.02,5,11,27.27,-2.182,0.21,-0.54
3.0,0.015,0.05,2,11,27.27,-2.182,0.21,-0.54
3.0,0.015,0.05,5,11,27.27,-2.182,0.21,-0.54
3.0,0.03,0.02,2,20,20.0,-2.687,0.18,-0.66
3.0,0.03,0.02,5,20,20.0,-2.687,0.18,-0.66
3.0,0.03,0.05,2,20,20.0,-2.687,0.18,-0.66
3.0,0.03,0.05,5,20,20.0,-2.687,0.18,-0.66
